,Postcode,Borough,Neighbourhood
0,M6A,North York,"Lawrence Heights, Lawrence Manor"
1,M4V,Central Toronto,"Deer Park, Rathnelly, South Hill"
2,M6R,West Toronto,"Parkdale, Roncesvalles"
3,M6L,North York,Downsview
4,M9R,Etobicoke,Kingsview Village
5,M5T,Downtown Toronto,"Chinatown, Grange Park, Kensington Market"
6,M3H,North York,"Bathurst Manor, Wilson Heights"
7,M8Z,Etobicoke,"Mimico NW, The Queensway West"
8,M3K,North York,CFB Toronto
9,M6P,West Toronto,High Park
10,M8X,Etobicoke,The Kingsway
11,M4Y,Downtown Toronto,Church and Wellesley
12,M4T,Central Toronto,Moore Park
13,M1M,Scarborough,"Cliffcrest, Cliffside"
14,M6H,West Toronto,Dovercourt Village
15,M6S,West Toronto,"Runnymede, Swansea"
16,M5A,Downtown Toronto,"Harbourfront, Regent Park"
17,M5P,Central Toronto,Forest Hill North
18,M9A,Etobicoke,Islington Avenue
19,M9M,North York,"Emery, Humberlea"
20,M4W,Downtown Toronto,Rosedale
21,M1B,Scarborough,"Rouge, Malvern"
22,M2R,North York,Willowdale West
23,M2J,North York,Henry Farm
24,M1C,Scarborough,"Highland Creek, Rouge Hill, Port Union"
25,M3C,North York,Flemingdon Park
26,M1R,Scarborough,"Maryvale, Wexford"
27,M6J,West Toronto,"Little Portugal, Trinity"
28,M4B,East York,"Woodbine Gardens, Parkview Hill"
29,M4C,East York,Woodbine Heights
30,M1L,Scarborough,"Clairlea, Golden Mile, Oakridge"
31,M5X,Downtown Toronto,"First Canadian Place, Underground city"
32,M8V,Etobicoke,New Toronto
33,M8W,Etobicoke,"Alderwood, Long Branch"
34,M5J,Downtown Toronto,"Toronto Islands, Union Station"
35,M2K,North York,Bayview Village
36,M3A,North York,Parkwoods
37,M8Y,Etobicoke,"Humber Bay, Mimico NE, Old Mill South, The Queensway East, Royal York South East, Sunnylea"
38,M1X,Scarborough,Upper Rouge
39,M4K,East Toronto,Riverdale
40,M5C,Downtown Toronto,St. James Town
41,M9L,North York,Humber Summit
42,M6K,West Toronto,"Exhibition Place, Parkdale Village"
43,M5E,Downtown Toronto,Berczy Park
44,M1S,Scarborough,Agincourt
45,M4G,East York,Leaside
46,M5M,North York,Bedford Park
47,M1N,Scarborough,Birch Cliff
48,M4E,East Toronto,The Beaches
49,M4L,East Toronto,India Bazaar
50,M2M,North York,"Newtonbrook, Willowdale"
51,M5S,Downtown Toronto,University of Toronto
52,M1K,Scarborough,"Ionview, Kennedy Park"
53,M4X,Downtown Toronto,"Cabbagetown, St. James Town"
54,M2H,North York,Hillcrest Village
55,M3L,North York,Downsview West
56,M1P,Scarborough,"Dorset Park, Scarborough Town Centre, Wexford Heights"
57,M2L,North York,York Mills
58,M9V,Etobicoke,"Beaumond Heights, Jamestown, Mount Olive, Silverstone, South Steeles, Thistletown"
59,M1V,Scarborough,"Agincourt North, Milliken"
60,M1G,Scarborough,Woburn
61,M9B,Etobicoke,"Islington, Princess Gardens, West Deane Park"
62,M4N,Central Toronto,Lawrence Park
63,M5L,Downtown Toronto,Commerce Court
64,M9C,Etobicoke,Markland Wood
65,M3J,North York,"Northwood Park, York University"
66,M4J,East York,East Toronto
67,M5R,Central Toronto,"The Annex, Yorkville"
68,M1T,Scarborough,Tam O'Shanter
69,M6M,York,"Keelesdale, Mount Dennis, Silverthorn"
70,M4H,East York,Thorncliffe Park
71,M4A,North York,Victoria Village
72,M1J,Scarborough,Scarborough Village
73,M5K,Downtown Toronto,"Design Exchange, Toronto Dominion Centre"
74,M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, South Niagara"
75,M1E,Scarborough,"Morningside, West Hill"
76,M9N,York,Weston
